Filename,Subfolder Name,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
2021.a4.txt,a4,1420.18,1263.47,411.36,470.13,3,0,1
2022.a4.txt,a4,1473.95,1219.82,355.78,495.55,9,0,2
2024.a4.txt,a4,1341.34,1221.22,490.49,550.55,9,0,1
2028.a4.txt,a4,1724.14,1120.69,344.83,665.71,15,1,3
2030.a4.txt,a4,1395.55,1258.56,419.52,479.45,7,0,2
2031.a4.txt,a4,1594.75,975.61,469.04,647.28,10,0,2
2032.a4.txt,a4,1595.74,1010.64,410.33,516.72,8,0,1
2034.a4.txt,a4,1455.7,1131.33,466.77,466.77,10,0,3
2035.a4.txt,a4,1458.94,1140.1,444.44,376.81,3,0,1
2036.a4.txt,a4,1166.35,1195.03,411.09,640.54,6,0,0
2038.a4.txt,a4,1740.93,974.09,414.51,621.76,6,0,2
2039.a4.txt,a4,1686.86,959.93,503.26,605.78,8,0,3
2040.a4.txt,a4,1398.81,1259.92,347.22,436.51,7,0,2
2042.a4.txt,a4,1457.73,1039.84,272.11,651.12,9,0,0
2044.a4.txt,a4,1638.04,1083.22,303.83,700.13,7,1,1
2046.a4.txt,a4,1397.13,1043.06,421.05,717.7,9,0,1
2048.a4.txt,a4,1682.03,1029.19,330.26,729.65,8,0,3
2049.a4.txt,a4,1878.57,892.86,300.0,557.14,9,0,5
2050.a4.txt,a4,1434.34,1080.81,212.12,696.97,5,0,1
2055.a4.txt,a4,1453.61,969.07,350.52,577.32,9,0,0
2056.a4.txt,a4,1314.07,1220.88,568.5,680.34,7,0,0
2057.a4.txt,a4,1673.73,1122.88,550.85,603.81,7,0,1
2058.a4.txt,a4,1490.23,920.2,399.02,977.2,10,0,3
2059.a4.txt,a4,1518.38,996.13,386.85,609.28,7,0,3
2061.a4.txt,a4,1316.79,1011.45,353.05,725.19,8,1,3
2062.a4.txt,a4,1229.59,1210.37,413.06,605.19,7,0,1
2064.a4.txt,a4,1424.02,1179.6,350.69,531.35,8,0,0
2065.a4.txt,a4,1055.56,1175.93,407.41,564.81,11,0,2
2066.a4.txt,a4,1678.74,1099.03,446.86,724.64,9,0,2
2067.a4.txt,a4,1290.32,1092.61,426.64,572.32,9,0,1
2069.a4.txt,a4,1383.2,1352.46,481.56,563.52,8,0,1
2071.a4.txt,a4,1143.52,1143.52,443.41,606.77,8,0,0
2072.a4.txt,a4,1695.57,1175.34,481.7,645.47,5,0,5
2074.a4.txt,a4,1447.49,1258.28,368.97,596.03,6,0,2
2075.a4.txt,a4,1417.46,1028.52,440.8,518.58,10,0,1
2076.a4.txt,a4,1453.83,1168.96,451.87,589.39,4,0,1
3001.a4.txt,a4,1491.97,1293.67,481.59,500.47,3,0,0
3003.a4.txt,a4,1817.42,1113.9,326.63,711.89,6,0,0
3020.a4.txt,a4,1422.68,1195.88,556.7,505.15,8,0,0
3026.a4.txt,a4,1539.02,1192.2,397.4,621.39,4,0,0
3037.a4.txt,a4,1446.43,1089.29,398.81,654.76,18,1,7
3042.a4.txt,a4,1299.09,1339.38,594.16,543.81,6,0,0
3062.a4.txt,a4,1729.13,954.0,485.52,766.61,6,0,4
3065.a4.txt,a4,1398.96,1264.25,652.85,445.6,5,0,4
4023.a4.txt,a4,1301.44,1129.19,555.02,612.44,8,1,0
4028.a4.txt,a4,1462.17,1288.34,501.02,521.47,3,0,2
4030.a4.txt,a4,1347.58,1356.88,557.62,446.1,7,0,0
4031.a4.txt,a4,1273.63,1213.93,487.56,388.06,6,0,0
4034.a4.txt,a4,1379.31,1369.17,537.53,608.52,5,0,1
4045.a4.txt,a4,1518.03,1072.11,559.77,559.77,7,0,0
5009.a4.txt,a4,1413.61,1014.4,320.68,693.72,5,0,1
